Sample ID,Year ,Seed.Lot,Seed.Lot.Year,Variety,Seed Grower,Town,State,Latitude,Longitude
Soil_SL_3_2018,2018,3,SL-3-2018,Ranger,Grower 31,Reardan,WA,47.669583,-117.877797
Tare_Soil_SL24_its_2019,2019,102,SL-24-2019,Russet,Grower 31,Reardon,WA,47.669583,-117.877797
Tare_Soil_SL41_its_2019,2019,119,SL-41-2019,Snowden,Grower 31,Reardon,WA,47.669583,-117.877797
Soil_SL_52_2018,2018,52,SL-52-2018,Burbank,Grower 32,St Antony,ID,43.966054,-111.682295
Soil_SL_19_2018,2018,19,SL-19-2018,Norkotah,Grower 32,St Antony,ID,43.966054,-111.682295
Tare_Soil_SL73_its_2019,2019,151,SL-73-2019,Burbank,Grower 33,,ID,,
Tare_Soil_SL5_its_2019,2019,83,SL-5-2019,Norkotah,Grower 34,Malin,OR,42.012733,-121.40859
Tare_Soil_SL65_its_2019,2019,143,SL-65-2019,Agata,Grower 35,Idaho Falls,ID,,
Soil_SL_55_2018,2018,55,SL-55-2018,Burbank,Grower 36,Paul ,ID,42.607976,-113.783434
Tare_Soil_SL53_its_2019,2019,131,SL-53-2019,Burbank,Grower 36,Paul ,ID,42.607976,-113.783434
Tare_Soil_SL6_its_2019,2019,84,SL-6-2019,Waneta,Grower 37,Walhalla,ND,48.923119,-97.918454
Soil_SL_78_2018,2018,78,SL -78-2018,Norkotah,Grower 38,Alliance,NE ,,
Tare_Soil_SL68_its_2019,2019,146,SL-68-2019,Burbank,Grower 39,Manhattan,MT,45.857894,-111.331204
Soil_SL_14_2018,2018,14,SL-14-2018,Alturas,Grower 4,Spruce Grove,AB Canada,53.542414,-113.909689
Tare_Soil_SL38_its_2019,2019,116,SL-38-2019,Alturas,Grower 4,Spruce Grove,AB Canada,53.542414,-113.909689
Soil_SL_38_2018,2018,38,SL-38-2018,Alturas,Grower 40,Atkinson ,NE,42.530991,-98.97767
Tare_Soil_SL46_its_2019,2019,124,SL-46-2019,Alturas,Grower 40,Atkinson ,NE,42.530991,-98.97767
Soil_SL_53_2018,2018,53,SL-53-2018,Clearwater,Grower 40,Atkinson ,NE,42.530991,-98.97767
Tare_Soil_SL47_its_2019,2019,125,SL-47-2019,Clearwater,Grower 40,Atkinson ,NE,42.530991,-98.97767
Tare_Soil_SL48_its_2019,2019,126,SL-48-2019,Ranger,Grower 40,Atkinson ,NE,42.530991,-98.97767
Tare_Soil_SL49_its_2019,2019,127,SL-49-2019,Umatilla,Grower 40,Atkinson ,NE,42.530991,-98.97767
Soil_SL_37_2018,2018,37,SL-37-2018,Umatilla,Grower 40,Atkinson ,NE,42.530991,-98.97767
Soil_SL_8_2018,2018,8,SL-8-2018,Ranger,Grower 5,Ronan,MT,,
Soil_SL_51_2018,2018,51,SL-51-2018,Burbank,Grower 6,Malin,OR,42.012733,-121.40859
Soil_SL_58_2018,2018,58,SL-58-2018,Burbank,Grower 6,Malin,OR,42.012733,-121.40859
Soil_SL_62_2018,2018,62,SL-62-2018,Burbank,Grower 6,Malin,OR,42.012733,-121.40859
Tare_Soil_SL52_its_2019,2019,130,SL-52-2019,Burbank,Grower 6,Malin,OR,42.012733,-121.40859
Tare_Soil_SL67_its_2019,2019,145,SL-67-2019,Burbank,Grower 6,Malin,OR,42.012733,-121.40859
Tare_Soil_SL69_its_2019,2019,147,SL-69-2019,Burbank,Grower 6,Malin,OR,42.012733,-121.40859
Tare_Soil_SL75_its_2019,2019,153,SL-75-2019,Burbank,Grower 6,Malin,OR,42.012733,-121.40859
Soil_SL_40_2018,2018,40,SL-40-2018,Burbank,Grower 7,Ashton,ID,44.071565,-111.448489
Soil_SL_61_2018,2018,61,SL-61-2018,Burbank,Grower 7,Ashton,ID,44.071565,-111.448489
Tare_Soil_SL51_its_2019,2019,129,SL-51-2019,Burbank,Grower 7,Ashton,ID,44.071565,-111.448489
Tare_Soil_SL54_its_2019,2019,132,SL-54-2019,Burbank,Grower 7,Ashton,ID,44.071565,-111.448489
Tare_Soil_SL57_its_2019,2019,135,SL-57-2019,Burbank,Grower 7,Ashton,ID,44.071565,-111.448489
Tare_Soil_SL70_its_2019,2019,148,SL-70-2019,Burbank,Grower 7,Ashton,ID,44.071565,-111.448489
Soil_SL_13_2018,2018,13,SL-13-2018,Norkotah,Grower 8,Manhattan,MT,45.857894,-111.331204
Tare_Soil_SL17_its_2019,2019,95,SL-17-2019,Norkotah,Grower 8,Manhatton,MT,45.857894,-111.331204
Soil_SL_67_2018,2018,67,SL-67-2018,Ranger,Grower 9,Dillion ,MT,45.216523,-112.63885
Soil_SL_72_2018,2018,72,SL-72-2018,All Blue,,,,,
Tare_Soil_SL30_its_2019,2019,108,SL-30-2019,All Blue,,,,,
Soil_SL_71_2018,2018,71,SL-71-2018,Burbank,,,MT,,
Tare_Soil_SL62_its_2019,2019,140,SL-62-2019,Cerata,,,,,
Soil_SL_25_2018,2018,25,SL-25-2018,Dakota,,,,,
Tare_Soil_SL29_its_2019,2019,107,SL-29-2019,Dakota,,,,,
Tare_Soil_SL60_its_2019,2019,138,SL-60-2019,Erika,,,,,
Tare_Soil_SL61_its_2019,2019,139,SL-61-2019,Fioretta,,,,,
Tare_Soil_SL34_its_2019,2019,112,SL-34-2019,Ivory Russet,,Parkland,WA,47.151792,-122.440413
Tare_Soil_SL64_its_2019,2019,142,SL-64-2019,Jazzy,,,,,
Soil_SL_28_2018,2018,28,SL-28-2018,Lamoka,,,,,
Tare_Soil_SL32_its_2019,2019,110,SL-32-2019,Lamoka,,Winnemucca,NV,40.968854,-117.729563
Tare_Soil_SL25_its_2019,2019,103,SL-25-2019,Russet,,Manhatton,MT,45.857894,-111.331204
Tare_Soil_SL45_its_2019,2019,123,SL-45-2019,,,,,,
Tare_Soil_SL66_its_2019,2019,144,SL-66-2019,,,,,,
Soil_SL_Blank_2018,2018,Blank,,,,,,,
Soil_SL_PCR_Neg_1_2018,2018,Blank,,,,,,,
Soil_SL_PCR_Neg_2_2018,2018,Blank,,,,,,,
Plate_Blank_2018,2018,Blank,,,,,,,
Tare_Soil_Blank_its_2019,2019,Blank,,,,,,,
Sager_Soil_1-12in_its_2019,2019,Blank,,,,,,,
Sager_Soil_13-24in_its_2019,2019,Blank,,,,,,,
Tare_Soil_PCR_Neg_its_2019,2019,Blank,,,,,,,
Plate_Blank_2019,2019,Blank,,,,,,,
